employment_matrix,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023[1]",education_needed,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
"  Rolling machine setters, operators, and tenders, metal and plastic",51-4023,25.0,23.1,-1.9,-7.7,"47,040",High school diploma or equivalent,3.6,2.6,2.5,3.0,2.5,3.8,3.5,2.9,3.2,2.5,3.4,3.0,3.5,2.5,1.6,2.8,2.8
"  Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,181.3,161.0,-20.3,-11.2,"42,400",High school diploma or equivalent,3.2,2.1,2.5,2.7,2.1,3.8,3.3,2.6,2.6,2.5,2.9,2.9,3.2,2.2,1.4,2.6,2.7
"  Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,5.8,4.7,-1.1,-19.2,"44,620",High school diploma or equivalent,3.7,3.0,2.6,3.0,2.1,4.1,3.4,2.6,2.6,3.0,3.1,2.6,3.4,2.0,2.0,2.7,3.0
"  Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,76.3,68.1,-8.2,-10.7,"42,610",High school diploma or equivalent,3.3,2.8,2.2,2.7,2.2,3.7,3.8,2.8,2.8,2.7,2.9,2.7,3.2,2.5,1.5,2.6,2.7
"  Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,19.7,17.5,-2.3,-11.4,"47,110",High school diploma or equivalent,3.4,2.5,2.4,2.7,2.0,3.7,3.4,2.7,2.8,2.6,2.9,2.7,3.2,2.1,1.5,2.6,2.7
"  Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,14.1,12.3,-1.8,-12.9,"47,200",High school diploma or equivalent,3.5,2.6,2.4,2.8,2.2,3.8,3.3,2.7,2.8,2.9,3.0,2.9,2.9,2.2,1.7,2.6,2.8
  Machinists,51-4041,298.0,303.0,5.0,1.7,"50,840",High school diploma or equivalent,3.4,2.6,2.7,3.0,2.1,3.9,3.7,2.7,2.8,3.0,3.1,2.6,3.3,2.5,1.7,2.6,2.8
  Metal-refining furnace operators and tenders,51-4051,21.4,20.4,-1.0,-4.8,"50,250",High school diploma or equivalent,3.5,2.2,2.3,2.9,2.2,3.8,3.5,2.9,3.1,2.6,2.9,3.0,3.3,2.5,2.2,2.7,2.8
"  Pourers and casters, metal",51-4052,5.6,5.2,-0.4,-6.7,"48,690",High school diploma or equivalent,3.2,2.1,2.4,2.7,2.1,3.5,3.3,2.8,2.9,2.1,2.9,2.8,3.1,2.6,2.1,2.7,2.6
"  Model makers, metal and plastic",51-4061,2.9,2.4,-0.5,-17.6,"64,190",High school diploma or equivalent,3.6,2.8,2.7,3.0,2.5,4.3,3.2,2.6,2.8,2.9,3.0,2.5,3.3,2.3,1.7,2.7,2.9
"  Patternmakers, metal and plastic",51-4062,2.2,1.7,-0.5,-22.2,"49,670",High school diploma or equivalent,3.5,2.8,2.6,2.8,2.1,3.8,3.3,2.5,2.7,2.6,2.7,2.5,3.1,2.3,1.5,2.6,2.7
  Foundry mold and coremakers,51-4071,11.8,8.9,-2.9,-24.6,"44,300",High school diploma or equivalent,3.3,1.9,2.2,2.6,2.1,3.7,3.2,2.7,2.7,2.2,2.4,3.1,3.1,2.3,2.3,2.5,2.1
"  Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,158.8,154.9,-3.9,-2.5,"38,870",High school diploma or equivalent,3.3,2.3,2.2,2.7,1.9,3.6,3.3,2.8,2.8,2.5,3.0,3.0,3.0,2.1,1.7,2.7,2.9
"  Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,130.0,132.3,2.3,1.8,"41,600",High school diploma or equivalent,3.9,3.0,2.7,3.1,2.2,3.9,3.3,3.1,3.1,2.7,3.2,2.7,3.2,2.7,1.6,2.7,3.0
  Tool and die makers,51-4111,59.1,53.3,-5.8,-9.7,"61,490",Postsecondary nondegree award,3.7,2.8,2.9,3.1,1.9,4.1,3.3,2.5,2.7,2.9,3.1,2.4,3.6,2.3,1.6,2.6,2.8
"  Welders, cutters, solderers, and brazers",51-4121,454.5,463.8,9.3,2.0,"48,940",High school diploma or equivalent,3.1,1.8,2.3,2.6,2.0,3.7,3.2,2.7,2.4,2.3,2.3,2.6,2.9,2.0,1.7,2.4,2.1
"  Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,35.6,32.5,-3.2,-8.9,"45,350",High school diploma or equivalent,3.2,1.8,2.3,2.6,1.9,3.4,3.3,2.7,2.8,2.4,2.7,2.8,2.9,2.3,1.7,2.7,2.5
"  Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,15.2,13.8,-1.4,-9.5,"44,240",High school diploma or equivalent,3.3,2.5,2.2,2.7,2.2,3.5,3.4,2.8,2.9,2.9,2.9,3.2,3.1,2.1,2.1,2.7,2.9
"  Layout workers, metal and plastic",51-4192,6.9,6.7,-0.2,-3.5,"62,270",High school diploma or equivalent,3.4,2.3,2.7,2.9,2.6,4.0,3.2,2.9,3.1,3.3,2.7,2.8,3.1,2.5,1.7,2.6,3.0
"  Plating machine setters, operators, and tenders, metal and plastic",51-4193,32.4,28.8,-3.6,-11.1,"39,740",High school diploma or equivalent,3.3,2.0,2.5,2.8,2.3,3.8,3.2,2.9,3.1,2.4,2.6,2.7,3.1,2.3,2.5,2.7,2.9
"  Tool grinders, filers, and sharpeners",51-4194,6.8,6.3,-0.5,-7.8,"46,410",High school diploma or equivalent,3.3,2.4,2.6,2.9,2.2,3.8,3.8,2.6,2.6,3.0,3.1,2.7,3.2,2.5,1.6,2.4,2.7
"  Metal workers and plastic workers, all other[2]",51-4199,20.7,19.2,-1.4,-6.9,"41,200",High school diploma or equivalent,3.3,2.3,2.4,2.8,2.1,3.8,3.4,2.7,2.7,2.6,2.8,2.7,3.2,2.3,1.7,2.6,2.6
  Prepress technicians and workers,51-5111,23.3,19.0,-4.3,-18.5,"45,070",Postsecondary nondegree award,3.8,3.6,3.1,2.9,2.5,3.8,2.9,2.8,3.0,2.4,2.2,1.4,3.2,2.6,1.4,2.8,3.0
  Printing press operators,51-5112,156.2,141.3,-14.9,-9.5,"41,860",High school diploma or equivalent,3.4,2.6,2.5,2.8,2.7,3.9,3.4,2.9,3.2,2.2,3.3,2.8,3.5,3.1,1.4,2.7,2.8
  Print binding and finishing workers,51-5113,38.1,31.4,-6.7,-17.5,"38,100",High school diploma or equivalent,3.4,2.2,2.4,2.8,2.3,3.8,3.3,2.8,3.0,2.3,2.9,2.8,3.3,2.3,1.4,2.7,3.0
  Laundry and dry-cleaning workers,51-6011,195.4,206.2,10.8,5.5,"31,050",No formal educational credential,3.1,1.7,2.1,2.4,2.5,3.1,2.8,3.1,2.9,1.9,2.2,2.7,2.8,2.5,1.6,2.7,2.3
"  Pressers, textile, garment, and related materials",51-6021,29.3,25.8,-3.5,-12.0,"32,240",No formal educational credential,3.3,1.8,2.5,2.3,2.5,3.4,3.2,2.8,2.4,1.8,2.4,2.8,2.2,2.3,1.3,2.1,2.0
  Sewing machine operators,51-6031,128.7,111.8,-17.0,-13.2,"34,440",No formal educational credential,3.1,1.6,2.1,2.4,1.9,3.3,3.5,2.6,2.3,2.1,2.1,2.3,2.7,2.1,1.1,2.4,2.3
  Shoe and leather workers and repairers,51-6041,9.4,8.3,-1.1,-11.9,"36,020",High school diploma or equivalent,2.9,1.8,2.4,2.7,2.7,3.4,3.3,3.0,2.6,1.9,2.1,2.5,3.1,2.3,1.3,2.5,2.6
  Shoe machine operators and tenders,51-6042,6.1,5.2,-0.8,-13.6,"36,970",High school diploma or equivalent,3.6,1.7,2.5,2.6,1.8,3.0,3.5,2.7,2.5,2.2,2.6,2.8,2.9,2.1,1.6,2.6,2.4
"  Sewers, hand",51-6051,5.6,4.9,-0.7,-12.2,"32,240",No formal educational credential,3.2,2.2,3.3,2.6,3.0,3.7,3.7,2.6,2.2,2.5,1.8,1.6,3.2,3.0,1.2,2.4,2.5
"  Tailors, dressmakers, and custom sewers",51-6052,24.6,23.0,-1.6,-6.5,"36,650",No formal educational credential,3.4,1.8,2.9,2.6,3.0,3.6,3.6,2.9,2.3,2.2,2.1,2.2,3.3,2.4,1.3,2.8,2.6
  Textile bleaching and dyeing machine operators and tenders,51-6061,6.9,6.1,-0.7,-10.3,"35,340",High school diploma or equivalent,3.0,2.1,2.1,2.6,2.0,3.6,3.3,2.4,2.4,2.4,2.6,2.8,3.2,2.3,1.5,2.6,2.7
"  Textile cutting machine setters, operators, and tenders",51-6062,9.9,8.7,-1.2,-11.7,"36,620",High school diploma or equivalent,3.3,2.3,2.3,2.7,2.0,3.9,3.2,2.8,2.8,2.2,2.9,2.8,2.8,2.4,1.3,2.5,2.6
"  Textile knitting and weaving machine setters, operators, and tenders",51-6063,16.4,14.4,-1.9,-11.8,"37,130",High school diploma or equivalent,3.5,2.3,2.3,2.6,2.1,3.5,3.6,2.7,2.8,2.0,2.7,2.9,2.9,2.2,1.3,2.6,2.6
"  Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,24.1,22.0,-2.1,-8.8,"35,530",High school diploma or equivalent,3.3,2.0,2.1,2.6,2.0,3.4,3.6,2.6,2.5,2.2,2.7,3.1,2.7,2.1,1.3,2.6,2.4
"  Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,15.1,14.7,-0.5,-3.1,"44,030",High school diploma or equivalent,3.5,2.8,2.3,2.8,2.3,3.7,3.4,2.7,3.0,2.3,3.0,2.7,3.4,2.3,1.6,2.8,2.8
  Fabric and apparel patternmakers,51-6092,2.7,2.4,-0.3,-11.7,"62,510",High school diploma or equivalent,3.9,3.2,3.4,3.4,2.2,4.0,3.1,3.0,2.9,3.6,1.8,2.3,3.6,2.5,1.4,2.9,3.3
  Upholsterers,51-6093,30.7,30.1,-0.6,-2.0,"42,730",High school diploma or equivalent,3.3,1.6,2.8,2.8,2.8,3.5,3.7,3.0,2.8,2.6,2.4,3.1,3.1,2.7,1.4,2.6,2.8
"  Textile, apparel, and furnishings workers, all other[2]",51-6099,15.6,14.1,-1.5,-9.5,"35,130",High school diploma or equivalent,3.2,1.8,2.2,2.5,2.3,3.3,3.2,2.9,2.7,2.1,2.3,2.6,2.8,2.3,1.4,2.6,2.4
  Cabinetmakers and bench carpenters,51-7011,99.7,97.0,-2.7,-2.7,"43,260",High school diploma or equivalent,3.4,1.8,2.6,3.0,2.8,3.5,3.6,2.7,2.4,3.2,3.0,3.2,3.3,2.4,1.5,2.5,2.8
  Furniture finishers,51-7021,18.2,17.9,-0.3,-1.6,"39,790",High school diploma or equivalent,3.3,1.8,2.9,2.8,2.3,3.6,3.6,3.2,3.1,2.1,2.3,3.1,3.3,2.6,1.6,2.7,2.6
"  Model makers, wood",51-7031,1.1,1.0,-0.1,-12.8,"45,040",High school diploma or equivalent,3.7,2.2,3.2,3.2,2.5,4.0,3.4,2.8,2.8,2.7,2.1,2.7,3.6,2.5,1.5,2.9,3.1
"  Patternmakers, wood",51-7032,0.5,0.4,-0.1,-13.5,"48,630",High school diploma or equivalent,3.5,2.6,3.0,3.0,2.5,3.8,3.6,2.7,2.6,3.2,2.8,2.7,3.5,2.7,1.6,2.7,2.9
"  Sawing machine setters, operators, and tenders, wood",51-7041,45.6,45.3,-0.2,-0.5,"38,000",High school diploma or equivalent,3.3,1.7,2.2,2.6,1.6,3.7,3.4,2.7,2.7,2.2,2.8,2.9,3.0,2.1,1.2,2.4,2.2
"  Woodworking machine setters, operators, and tenders, except sawing",51-7042,60.6,59.3,-1.3,-2.2,"38,260",High school diploma or equivalent,3.1,1.9,2.3,2.6,2.0,3.7,3.5,2.3,2.4,2.4,2.9,3.0,3.1,1.9,1.5,2.6,2.3
"  Woodworkers, all other[2]",51-7099,15.1,13.1,-2.0,-13.5,"37,760",High school diploma or equivalent,3.3,1.8,2.4,2.8,2.3,3.6,3.5,2.6,2.5,2.7,2.8,3.1,3.2,2.2,1.5,2.5,2.6
  Nuclear power reactor operators,51-8011,5.8,5.2,-0.6,-10.3,"120,350",High school diploma or equivalent,3.9,3.6,2.3,3.5,2.2,4.5,2.8,2.9,3.4,3.1,2.4,1.5,3.7,2.5,3.0,3.3,3.7
  Power distributors and dispatchers,51-8012,9.2,9.1,-0.1,-1.4,"104,750",High school diploma or equivalent,3.9,3.3,2.6,3.5,3.0,4.1,2.5,3.0,3.5,2.9,2.5,1.9,3.9,2.6,1.8,3.2,3.5
  Power plant operators,51-8013,32.4,29.3,-3.1,-9.4,"97,010",High school diploma or equivalent,3.7,3.1,2.5,3.2,2.2,4.1,3.0,3.1,2.9,2.3,3.1,2.5,3.5,2.3,2.1,3.1,3.1
  Stationary engineers and boiler operators,51-8021,35.5,36.9,1.4,4.1,"67,640",High school diploma or equivalent,3.7,3.3,2.6,3.0,2.7,4.0,3.0,3.0,3.4,2.4,3.4,2.6,3.6,2.7,2.7,3.0,3.0
  Water and wastewater treatment plant and system operators,51-8031,124.7,117.2,-7.5,-6.0,"54,890",High school diploma or equivalent,3.5,3.3,2.3,3.1,2.6,3.9,2.7,3.1,3.1,3.1,3.3,2.4,3.7,2.7,3.3,3.0,3.3
  Chemical plant and system operators,51-8091,18.4,18.2,-0.1,-0.8,"80,030",High school diploma or equivalent,3.4,3.0,1.9,3.1,2.1,4.2,3.3,2.8,3.0,2.8,2.8,2.6,3.7,2.0,2.6,2.9,3.2
  Gas plant operators,51-8092,16.1,14.6,-1.6,-9.8,"82,560",High school diploma or equivalent,3.7,3.5,2.4,3.2,2.5,4.1,3.0,3.1,3.1,2.9,3.0,2.4,3.7,2.7,2.2,2.8,3.1
"  Petroleum pump system operators, refinery operators, and gaugers",51-8093,33.6,32.8,-0.8,-2.3,"94,580",High school diploma or equivalent,3.6,3.0,2.3,3.0,2.2,4.0,3.2,3.0,3.0,2.9,2.9,2.8,3.5,2.3,2.1,2.7,3.1
"  Plant and system operators, all other[2]",51-8099,15.8,16.3,0.5,3.2,"56,940",High school diploma or equivalent,3.6,3.3,2.4,3.1,2.5,4.0,2.9,3.1,3.1,2.8,3.1,2.5,3.7,2.5,2.8,3.0,3.2
  Chemical equipment operators and tenders,51-9011,121.9,115.4,-6.5,-5.4,"51,720",High school diploma or equivalent,3.6,3.4,2.3,3.1,2.3,3.9,3.1,3.2,3.4,2.9,3.0,2.8,3.6,2.4,2.8,2.9,3.4
"  Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,53.4,54.3,0.9,1.7,"48,120",High school diploma or equivalent,3.4,2.5,2.2,2.9,2.3,3.7,3.1,2.7,2.7,2.7,2.9,2.9,3.3,2.3,2.4,2.7,2.8
"  Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,26.5,26.3,-0.3,-1.0,"44,510",High school diploma or equivalent,3.3,2.1,2.3,2.8,2.2,3.7,3.2,3.1,3.1,2.7,3.2,3.0,3.1,2.5,2.0,2.7,2.9
"  Grinding and polishing workers, hand",51-9022,12.5,10.3,-2.2,-17.8,"38,940",No formal educational credential,3.5,2.3,3.1,2.7,2.2,3.8,3.8,3.0,2.8,2.2,3.2,2.8,3.0,3.0,1.3,2.6,2.9
"  Mixing and blending machine setters, operators, and tenders",51-9023,107.8,112.4,4.7,4.3,"46,100",High school diploma or equivalent,3.1,2.3,2.1,2.6,2.1,3.9,3.3,2.7,3.2,2.3,3.0,2.9,3.3,2.3,2.0,2.6,3.0
"  Cutters and trimmers, hand",51-9031,6.9,5.6,-1.3,-18.4,"37,040",No formal educational credential,2.7,1.7,1.9,2.3,1.5,3.5,3.1,2.7,2.7,2.1,1.8,2.5,2.5,2.0,1.2,2.5,2.4
"  Cutting and slicing machine setters, operators, and tenders",51-9032,52.5,51.1,-1.4,-2.7,"44,310",High school diploma or equivalent,3.2,2.6,2.1,2.8,2.3,3.8,3.8,2.8,3.1,2.7,3.0,3.1,3.3,2.3,1.5,2.5,2.9
"  Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,57.2,58.7,1.6,2.7,"42,670",High school diploma or equivalent,3.5,2.7,2.5,2.8,2.3,3.7,3.3,3.0,3.0,2.4,3.0,3.0,3.2,2.2,2.1,2.8,2.9
"  Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,15.2,15.5,0.3,2.0,"45,640",High school diploma or equivalent,3.4,2.4,2.3,2.7,1.9,3.8,3.1,2.7,2.9,2.3,2.6,2.8,3.1,2.2,1.9,2.8,2.9
"  Inspectors, testers, sorters, samplers, and weighers",51-9061,595.5,577.7,-17.8,-3.0,"45,850",High school diploma or equivalent,3.9,3.2,2.4,3.0,2.7,3.7,2.8,3.0,3.0,2.6,2.3,2.5,3.4,2.3,1.9,2.9,3.0
  Jewelers and precious stone and metal workers,51-9071,46.2,44.5,-1.7,-3.7,"47,450",High school diploma or equivalent,3.5,2.0,3.4,3.0,2.9,3.8,3.6,2.7,2.4,2.6,2.2,1.5,3.3,2.8,1.8,2.6,2.4
  Dental laboratory technicians,51-9081,35.1,33.7,-1.5,-4.2,"47,690",High school diploma or equivalent,3.8,2.7,3.2,3.0,2.5,3.9,3.7,3.1,3.2,2.0,2.6,1.8,3.3,2.9,2.1,2.7,3.1
  Medical appliance technicians,51-9082,13.0,13.5,0.5,3.9,"44,960",High school diploma or equivalent,3.4,2.7,3.0,3.3,3.0,3.7,3.5,3.4,3.0,2.8,2.7,2.6,3.6,2.7,2.4,3.4,3.2
  Ophthalmic laboratory technicians,51-9083,18.9,19.2,0.3,1.6,"37,720",High school diploma or equivalent,3.5,2.7,2.2,2.7,2.9,3.5,3.7,3.1,2.7,2.4,2.5,2.2,3.2,2.3,1.7,2.6,2.9
  Packaging and filling machine operators and tenders,51-9111,367.9,392.5,24.6,6.7,"38,330",High school diploma or equivalent,3.3,2.3,2.5,2.6,2.5,3.8,3.3,2.9,3.0,2.4,2.7,2.9,3.3,2.1,1.7,2.7,2.8
"  Painting, coating, and decorating workers",51-9123,11.4,11.6,0.2,1.5,"40,230",No formal educational credential,2.9,1.9,2.3,2.4,2.3,3.1,2.9,2.8,2.5,2.0,1.6,2.3,2.8,2.5,1.6,2.5,2.5
"  Coating, painting, and spraying machine setters, operators, and tenders",51-9124,167.9,169.9,2.0,1.2,"45,560",High school diploma or equivalent,3.5,2.1,2.1,2.7,2.1,3.4,3.6,2.8,2.8,1.9,2.9,3.0,3.2,2.5,1.4,2.5,2.6
  Semiconductor processing technicians,51-9141,26.6,30.1,3.4,13.0,"45,850",High school diploma or equivalent,3.5,2.9,2.5,2.9,2.4,3.8,3.1,3.1,3.0,2.2,2.7,2.6,2.9,2.3,1.9,2.8,3.1
  Photographic process workers and processing machine operators,51-9151,9.2,9.4,0.1,1.5,"35,620",High school diploma or equivalent,3.8,3.3,3.0,2.9,3.5,3.5,3.0,3.2,2.7,2.3,2.7,2.5,3.2,2.8,1.7,2.9,2.9
  Computer numerically controlled tool operators,51-9161,189.9,172.4,-17.5,-9.2,"48,550",High school diploma or equivalent,3.5,2.9,2.6,3.2,2.1,4.0,3.5,2.7,2.8,3.2,3.3,2.7,3.5,2.3,1.9,2.7,2.8
  Computer numerically controlled tool programmers,51-9162,28.3,32.5,4.2,14.9,"63,440",Postsecondary nondegree award,3.5,4.0,3.0,3.4,2.3,3.9,3.1,2.8,3.1,3.5,2.8,2.2,3.7,2.8,1.9,2.7,3.3
  Adhesive bonding machine operators and tenders,51-9191,12.5,12.4,-0.1,-0.5,"43,540",High school diploma or equivalent,3.3,2.6,2.1,2.7,2.3,3.8,3.6,2.8,2.9,2.6,3.1,3.3,3.3,2.3,1.8,2.8,2.9
"  Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,15.8,16.6,0.7,4.5,"39,340",High school diploma or equivalent,3.2,2.4,2.2,2.6,2.1,3.2,3.0,2.9,2.8,2.0,2.6,2.9,3.0,2.2,1.8,2.5,2.5
  Cooling and freezing equipment operators and tenders,51-9193,7.1,7.8,0.7,9.4,"42,420",High school diploma or equivalent,3.6,2.8,2.3,2.9,2.2,3.5,3.2,3.0,3.2,2.6,3.2,2.8,3.5,2.5,2.1,2.8,3.0
  Etchers and engravers,51-9194,11.7,11.9,0.3,2.3,"40,040",High school diploma or equivalent,3.3,2.9,3.0,2.9,2.5,3.8,3.3,2.9,2.7,2.2,2.7,2.4,3.0,2.6,1.5,2.7,2.8
"  Molders, shapers, and casters, except metal and plastic",51-9195,49.2,51.8,2.6,5.3,"43,310",High school diploma or equivalent,3.4,2.0,2.2,2.5,2.2,3.7,3.3,2.8,2.6,2.4,2.7,3.2,2.7,2.3,1.6,2.7,2.9
"  Paper goods machine setters, operators, and tenders",51-9196,95.2,83.3,-11.9,-12.5,"47,250",High school diploma or equivalent,3.4,2.2,2.3,2.7,2.4,3.6,3.3,3.0,3.2,2.4,2.8,2.7,3.4,2.4,1.3,2.8,2.7
  Tire builders,51-9197,20.7,21.3,0.6,3.1,"54,080",High school diploma or equivalent,3.2,2.1,2.1,2.5,2.5,3.5,3.6,2.6,2.9,2.1,2.6,3.2,2.9,2.5,1.6,2.6,2.4
  Helpers--production workers,51-9198,183.5,168.4,-15.2,-8.3,"36,700",High school diploma or equivalent,3.2,2.1,2.0,2.5,2.1,3.5,3.3,2.9,2.5,2.2,2.5,3.0,2.8,2.2,1.5,2.6,2.4
"  Production workers, all other[2]",51-9199,265.1,270.1,5.0,1.9,"37,430",High school diploma or equivalent,3.5,2.6,2.4,2.8,2.4,3.7,3.2,2.9,2.9,2.5,2.7,2.7,3.3,2.3,1.8,2.7,2.8
  Aircraft cargo handling supervisors,53-1041,9.1,9.7,0.7,7.7,"58,920",High school diploma or equivalent,4.0,3.5,2.8,3.2,3.8,4.0,2.8,3.5,4.0,3.1,2.5,2.9,3.9,3.0,1.9,3.4,3.2
"  First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors[2]",53-1047,594.1,625.6,31.5,5.3,"60,510",High school diploma or equivalent,3.9,3.4,2.8,3.4,3.3,3.8,2.6,3.4,4.1,2.9,2.5,2.4,3.9,3.1,1.8,3.5,3.4
"  Airline pilots, copilots, and flight engineers",53-2011,96.3,101.1,4.8,5.0,"219,140",Bachelor's degree,4.4,3.2,2.3,3.7,2.9,4.5,3.8,3.2,3.2,3.2,2.7,2.2,4.1,2.4,2.3,3.6,3.6
  Commercial pilots,53-2012,56.5,59.7,3.2,5.7,"113,080",Postsecondary nondegree award,4.0,3.0,2.4,3.5,3.3,4.3,3.4,3.4,3.2,2.8,2.6,2.4,3.9,2.5,2.1,3.4,3.3
  Air traffic controllers,53-2021,24.0,24.7,0.7,2.9,"137,380",Associate's degree,4.2,2.8,3.0,3.9,3.5,4.5,2.8,3.1,3.2,3.1,1.5,1.3,4.3,2.4,1.6,3.8,3.5
  Airfield operations specialists,53-2022,18.7,19.7,1.0,5.3,"51,140",High school diploma or equivalent,3.8,3.5,2.5,3.4,3.6,4.3,2.6,3.2,3.5,2.5,2.2,2.2,4.0,2.7,2.0,3.6,3.6
  Flight attendants,53-2031,130.3,143.2,12.9,9.9,"68,370",High school diploma or equivalent,4.1,2.9,2.6,2.9,4.3,4.0,2.3,4.1,2.9,2.0,1.5,3.1,3.7,2.5,1.5,3.9,2.9
"  Ambulance drivers and attendants, except emergency medical technicians",53-3011,11.6,11.6,0.0,-0.1,"32,580",High school diploma or equivalent,3.8,2.9,2.5,2.8,3.5,3.9,2.8,3.8,2.8,2.2,2.6,2.9,3.4,2.5,1.8,3.2,3.1
  Driver/sales workers,53-3031,503.2,549.3,46.1,9.2,"35,420",High school diploma or equivalent,3.5,2.3,2.3,2.5,3.6,3.5,3.2,3.0,2.2,2.7,2.0,3.0,3.1,2.4,1.1,3.2,2.8
  Heavy and tractor-trailer truck drivers,53-3032,"2,211.3","2,313.4",102.0,4.6,"54,320",Postsecondary nondegree award,3.5,2.6,2.1,2.6,2.9,3.9,3.5,2.8,2.3,2.2,2.9,2.7,3.4,2.2,1.5,2.7,2.7
  Light truck drivers,53-3033,"1,092.6","1,188.9",96.3,8.8,"42,470",High school diploma or equivalent,3.5,2.5,2.3,2.7,3.1,3.6,3.0,3.0,2.7,2.2,2.5,3.1,3.2,2.4,1.6,2.8,2.9
"  Bus drivers, school[2]",53-3051,365.3,368.9,3.6,1.0,"45,660",High school diploma or equivalent,3.7,2.3,2.2,2.6,3.5,3.8,3.3,3.5,2.6,2.1,2.4,2.3,3.3,2.1,1.3,2.9,2.8
"  Bus drivers, transit and intercity",53-3052,194.1,204.1,10.1,5.2,"60,170",High school diploma or equivalent,3.7,2.3,2.2,2.6,3.5,3.8,3.3,3.5,2.6,2.1,2.4,2.3,3.3,2.1,1.3,2.9,2.8
  Shuttle drivers and chauffeurs[2],53-3053,222.3,241.3,19.0,8.5,"35,240",No formal educational credential,3.7,2.3,2.2,2.6,3.5,3.8,3.3,3.5,2.6,2.1,2.4,2.3,3.3,2.1,1.3,2.9,2.8
  Taxi drivers[2],53-3054,171.1,193.8,22.7,13.3,"34,680",No formal educational credential,3.7,2.3,2.2,2.6,3.5,3.8,3.3,3.5,2.6,2.1,2.4,2.3,3.3,2.1,1.3,2.9,2.8
"  Motor vehicle operators, all other[2]",53-3099,86.5,93.6,7.1,8.3,"35,690",No formal educational credential,3.6,2.5,2.2,2.6,3.1,3.8,3.3,3.0,2.5,2.2,2.6,2.7,3.3,2.3,1.4,2.8,2.8
  Locomotive engineers,53-4011,27.5,27.9,0.4,1.3,"74,770",High school diploma or equivalent,3.6,2.4,2.3,3.1,2.8,4.2,3.6,3.0,3.2,2.4,2.8,2.5,3.6,2.4,1.6,3.2,3.2
"  Rail yard engineers, dinkey operators, and hostlers",53-4013,2.4,2.4,0.0,0.5,"57,070",High school diploma or equivalent,3.9,2.6,2.3,2.9,2.7,4.0,3.5,3.2,3.5,2.2,3.2,2.9,3.6,2.6,1.4,3.2,3.0
"  Railroad brake, signal, and switch operators and locomotive firers",53-4022,12.0,12.1,0.2,1.5,"63,540",High school diploma or equivalent,3.7,2.0,2.2,2.7,2.5,4.0,3.3,2.8,2.9,2.1,2.6,2.8,3.5,2.2,1.5,2.8,2.9
  Railroad conductors and yardmasters,53-4031,41.1,41.9,0.8,1.9,"71,130",High school diploma or equivalent,3.7,2.9,2.2,3.1,2.7,3.9,2.7,3.1,2.9,2.4,2.0,2.7,3.6,2.3,2.0,3.2,3.0
  Subway and streetcar operators,53-4041,15.4,16.0,0.7,4.2,"84,270",High school diploma or equivalent,4.0,2.0,2.0,2.7,3.6,4.2,3.7,3.2,2.5,2.3,2.8,2.6,3.3,2.1,1.3,3.1,2.8
"  Rail transportation workers, all other[2]",53-4099,1.9,2.0,0.1,3.5,"44,660",High school diploma or equivalent,3.7,2.5,2.2,3.0,2.8,4.1,3.2,3.1,2.9,2.4,2.4,2.6,3.5,2.3,1.7,3.1,3.0
  Sailors and marine oilers,53-5011,32.1,33.2,1.1,3.5,"48,400",No formal educational credential,3.4,2.3,2.4,2.7,2.6,3.9,3.5,3.3,3.3,2.5,3.2,3.3,3.2,2.5,2.0,3.0,2.8
"  Captains, mates, and pilots of water vessels",53-5021,40.2,41.2,0.9,2.3,"88,730",Postsecondary nondegree award,3.9,2.9,2.6,3.1,3.0,3.9,3.4,3.3,3.6,2.6,3.2,2.9,3.9,2.9,2.1,3.3,3.3
  Motorboat operators,53-5022,3.1,3.2,0.1,3.4,"46,420",Postsecondary nondegree award,3.4,2.4,2.4,2.9,3.3,3.6,3.2,3.3,3.2,2.2,3.2,2.6,3.9,2.1,1.8,3.1,2.7
